FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-12-01 14524 100012 3663 1707 0.000996842827728209 0.00686424159231297 0.000251407000686342 0.000117158544955388 0.125163895614304 2020-12-01 0.131185153035631 0.130960380760072 -0.7
2020-12-02 14526 101698 3698 1723 0.000996980096087852 0.00697995881949211 0.000253809196980096 0.000118256691832533 0.126395922789037 2020-12-02 0.129156493277156 0.132944152025713 2
2020-12-03 14795 103239 3712 1824 0.00101544269045985 0.00708572409059712 0.000254770075497598 0.000125188743994509 0.131717196043792 2020-12-03 0.129125850031659 0.134392983227932 3.3
2020-12-04 14997 104792 3737 1780 0.0010293067947838 0.00719231297185999 0.000256485929993137 0.000122168840082361 0.126486118331796 2020-12-04 0.128651934888863 0.131045685390912 3
2020-12-05 15212 106416 3757 1859 0.00104406314344544 0.00730377487989019 0.000257858613589568 0.000127590940288264 0.13049013795123 2020-12-05 0.126441159184478 0.129126004448803 -0.5
2020-12-06 15547 107990 3772 1924 0.00106705559368566 0.00741180507892931 0.000258888126286891 0.000132052161976664 0.132260195264654 2020-12-06 0.126257829828288 0.129096115054928 -1.7
2020-12-07 16034 109402 3798 1925 0.00110048043925875 0.00750871654083734 0.000260672614962251 0.000132120796156486 0.128050078227225 2020-12-07 0.126076202062291 0.128625273412662 -1.9
2020-12-08 16151 110951 3808 1676 0.00110851063829787 0.00761503088538092 0.000261358956760467 0.00011503088538092 0.109688465683612 2020-12-08 0.125236791480705 0.126222858009379 -1.3
2020-12-09 16089 112875 3836 1890 0.00110425531914894 0.00774708304735758 0.00026328071379547 0.000129718599862732 0.125112617295708 2020-12-09 0.124144325781423 0.126038977998265 2.5
2020-12-10 16233 114679 3871 1983 0.00111413864104324 0.00787089910775566 0.000265682910089224 0.000136101578586136 0.130445801681814 2020-12-10 0.12087555227506 0.125864456765789 4.4
2020-12-11 16283 116432 3916 1848 0.00111757035003432 0.00799121482498284 0.000268771448181194 0.000126835964310227 0.120610244260695 2020-12-11 0.120374682474333 0.125012047256701 6.2
2020-12-12 16221 118350 3933 1873 0.00111331503088538 0.00812285518188058 0.000269938229238161 0.000128551818805765 0.122842878056256 2020-12-12 0.125214540176778 0.12393816223484 6.7
2020-12-13 16204 120028 3949 1677 0.00111214824982841 0.00823802333562114 0.000271036376115305 0.000115099519560741 0.109378780720108 2020-12-13 0.12647489442482 0.120620159267212 3.8
